PublicationTitle,DatabaseIDs,PublicationDate,PublicationDOI,StudyType,SegmentationUse,SourceData,TrainingData,LabelData,Code,Modality,FileFormatsSource,FileFormatsTraining,FileFormatsLabel,DataOrigin,SegmentationType,SegmentationMethod,BiologicalScale,Notes
Influence of segmentation on micro-CT images of trabecular bone,N/A,2014,10.1111/jmi.12159,Software,Quantitative morphometry,No,N/A,No,No,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Tissue (bone),
3D assessment of cortical bone porosity and tissue mineral density using high-resolution µCT: effects of resolution and threshold method,N/A,2014,10.1002/jbmr.2012,Software,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Tissue (bone),
Reliable estimation of membrane curvature for cryo-electron tomography,"EMD-10765, EMD-10766, EMD-10767",2020,10.1371/journal.pcbi.1007962,Software,Quantitative morphometry,EMDB,N/A,EMDB,Github,Cryo-ET,map,N/A,map,this study,Semantic,Semi-automated,Cellular,Good data but indirect to access as EMDB is set up for maps not segmentations
Cryo-Electron Tomography Reveals the Complex Ultrastructural Organization of Multicellular Filamentous Chloroflexota (Chloroflexi) Bacteria,"EMD-10806, EMD-10808",2020,10.3389/fmicb.2020.01373,Biological,"Quantitative morphometry, STA",EMDB,N/A,No,N/A,Cryo-ET,map,N/A,N/A,this study,Instance,Manual,Sub-cellular,
In situ cryo-electron tomography reveals gradient organization of ribosome biogenesis in intact nucleoli,"EMD-11047, EMD-11047, EMD-11048, EMD-11043, EMD-11044, EMD-11045",2021,10.1038/s41467-021-25413-w,Biological,Qualitative visualisation,EMDB,N/A,No,N/A,Cryo-ET,map,N/A,N/A,this study,STA,Semi-automated,"STA, sub-cellular",Segmented membranes with membseg2 but only STA data is available
Visualizing the molecular sociology at the HeLa cell nuclear periphery,"EMD-8054, EMD-8055, EMD-8056, EMD-8057, EMD-11992",2016,10.1126/science.aad8857,Method,Quantitative morphometry,EMDB,N/A,EMDB,N/A,Cryo-ET,map,N/A,map,this study,"Semantic, STA",Manual,Sub-cellular,No desription of which mask = which class. Mix of filaments segmented semi-automatically and STA structures of ribosomes
Molecular mechanisms of stress-induced reactivation in mumps virus condensates,"EMD-13165, EMD-13166, EMD-13167",2023,10.1016/j.cell.2023.03.015,Biological,"Quantitative morphometry, STA",EMDB,No,EMDB,N/A,Cryo-ET,map,N/A,map,this study,Semantic,Automated,"Sub-cellular, STA",
In vivo Architecture of the Polar Organizing Protein Z (PopZ) Meshwork in the Alphaproteobacteria Magnetospirillum gryphiswaldense and Caulobacter crescentus.,"EMD-14021, EMD-14022, EMPIAR-10885",2021,10.1016/j.jmb.2021.167423,Biological,Quantitative morphometry,EMDB,N/A,EMDB,No,Cryo-ET,map,N/A,map,this study,Semantic,Semi-automated,Sub-cellular,Mentions that the automated membrane segmentation (TomoSegMemTV) was refined manually in Amira
Convolutional networks for supervised mining of molecular patterns within cellular context,"EMD-16136, EMPIAR-10988, EMPIAR-10989",2023,10.1038/s41592-022-01746-2,Software,Software proof-of-concept,"EMDB, EMPIAR",EMPIAR,"EMDB, EMPIAR",Github,Cryo-ET,"mrc, tiff",mrc,mrc,"this study, other studies from group",Semantic,Manual,Sub-cellular,DeePiCt paper - filaments in RPE1
Cryogenic single-molecule fluorescence annotations for electron tomography reveal in-situ organisation of key proteins in Caulobacter,EMD-21706,2020,10.1073/pnas.2001849117,Method,Proof-of-concept,EMDB,N/A,No,N/A,Cryo-ET & fluor,map,N/A,N/A,this study,Semantic,Semi-automated,Sub-cellular,Just the tomograms here
Cryo-ET of Toxoplasma parasites gives subnanometer insight into tubulin-based structures,EMD-26007,2022,10.1073/pnas.2111661119,Biological,Qualitative visualisation; STA,EMDB,N/A,No,N/A,Cryo-ET,map,N/A,N/A,this study,Semantic,Semi-automated,Sub-cellular,Did a visualisation segmentation but also mentions segmenting a STA map
Identifying the core genome of the nucleus-forming bacteriophage family and characterization of Erwinia phage RAY,EMPIAR-11198,2023,10.1101/2023.02.24.529968,Biological,Qualitative visualisation; STA,EMPIAR,N/A,N/A,N/A,Cryo-ET,tiff,N/A,N/A,this study,Semantic,Manual,Sub-cellular,
"Structure of the Flight Muscle Thick Filament from the Bumble Bee, Bombus ignitus, at 6 Å Resolution",EMD-28208,2023,10.3390/ijms24010377,Biological,STA,No,N/A,N/A,N/A,Cryo-EM,N/A,N/A,N/A,this study,STA,N/A,STA,"Refers to the structure from SPA as a ""reconstruction"" and there is something called a ""segmented flightin density"" - look closer at the meanings"
Assembly landscape for the bacterial large ribosomal subunit,EMD-405xx (64 maps),2023,10.1038/s41467-023-40859-w,Biological,SPA,EMDB,N/A,N/A,N/A,Cryo-EM,map,N/A,N/A,this study,SPA,N/A,SPA,Segmentation here is of the maps that have been averaged in SPA (I think?)
Postmitotic nuclear pore assembly proceeds by radial dilation of small membrane openings,"EMPIAR-10100, EMPIAR-10101, EMPIAR-10102, EMPIAR-10103, EMPIAR-10104, EMPIAR-10105",2017,10.1038/s41594-017-0001-9,Biological,Quantitative morphometry,EMPIAR,No,No,No,FIB SEM,tiff,N/A,N/A,this study,Semantic,"Manual, semi-automated",Subcellular,"Segmentation masks not uploaded, only raw data. Measurements made from segmentations downloadable from paper supp data."
A collection of yeast cellular electron cryotomography data,EMPIAR-10227,2019,10.1093/gigascience/giz077,Dataset,Benchmarking,EMPIAR,N/A,No,N/A,Cryo-ET,mrc,N/A,N/A,other studies from group,Unsure,Unsure,Subcellular,"There is a text link to a Google Drive folder for segmentations but I couldn't find them there?, only tilt series are included in the EMPIAR entry. This paper was a collection of previously published datasets. comprehensive evaluation of dataset quality in the Drive spreadsheet. EDIT 9/7: THEIR ""ANNOTATIONS"" MEANS THEIR COMMENTS ON THE DATASETS..."
The zebrafish as a novel model for the in vivo study of Toxoplasma gondii replication and interaction with macrophages,EMPIAR-10463,2020,10.1242/dmm.043091,Biological,Qualitative visualisation,EMPIAR,N/A,EMPIAR,N/A,SBF SEM,dm4,N/A,tiff,this study,Semantic,Manual,Tissue,
The Subcellular Proteome of a Planctomycetes Bacterium Shows That Newly Evolved Proteins Have Distinct Fractionation Patterns,"EMPIAR-10553, EMPIAR-10554",2021,10.3389/fmicb.2021.643045,Biological,Qualitative visualisation,EMPIAR,N/A,EMPIAR,N/A,FIB SEM,tiff,N/A,mod,this study,Semantic,Manual,Subcellular,
Regulation of liver subcellular architecture controls metabolic homeostasis,EMPIAR-10791,2022,10.1038/s41586-022-04488-5,Biological,Quantitative morphometry,EMPIAR,No,EMPIAR,Github,FIB SEM,tiff,N/A,tiff,this study,Semantic,Semi-automated,Subcellular,Manual annotations also provided
Near-native state imaging by cryo-soft-X-ray tomography reveals remodelling of multiple cellular organelles during HSV-1 infection,EMPIAR-10972,2022,10.1101/2021.10.11.463900,Method,Quantitative morphometry,EMPIAR,N/A,No,N/A,Soft XCT,mrc,N/A,N/A,this study,Semantic,Semi-automated,Cellular,
A surface morphometrics toolkit to quantify organellar membrane ultrastructure using cryo-electron tomography,"EMPIAR-11370, CZI 10010",2023,10.1101/2022.01.23.477440,Software,Quantitative morphometry,EMPIAR,N/A,CZII Cryo ET Data Portal,Github,Cryo-ET,"mrc, Any - accessed with API",N/A,Any - accessed with API,this study,Semantic,Semi-automated,Subcellular,Says that the segmentations are available on EMPIAR-11370 but as far as I can tell there's only the raw data
Light and electron microscopy continuum-resolution imaging of 3D cell cultures,EMPIAR-11380,2023,10.1016/j.devcel.2023.03.001 ,Method,Quantitative morphometry,EMPIAR,No,EMPIAR,N/A,FIB SEM,mrc,N/A,mrc,this study,Instance,Semi-automated,Subcellular,
Targeted volume Correlative Light and Electron Microscopy of an environmental marine microorganism,EMPIAR-11399,2023,10.1101/2023.01.27.525698,Method,Quantitative morphometry,EMPIAR,N/A,Mobie,Github,FIB SEM,tiff,N/A,n5,this study,Semantic,Unclear,Subcellular,"EMPIAR link only contains raw data, segmentations are on GitHub, includes instructions to view in a Fiji plugin Mobie. Very little info on segmentation method"
Microtubule depolymerization contributes to spontaneous neurotransmitter release in vitro,EMPIAR-11445,2023,10.1038/s42003-023-04779-1,Biological,Quantitative morphometry,EMPIAR,N/A,EMPIAR,N/A,Electron Tomography,mrc,N/A,mod,this study,Semantic,Semi-automated,Subcellular,"Very little detail about segmentation method, just the software that was used."
Whole-cell organelle segmentation in volume electron microscopy,"jrc_macrophage-2, jrc_hela-3, jrc_jurkat-1, jrc_hela-2,  jrc_hela-1, jrc_choroid-plexus-2, jrc_cos7-11, jrc_sum159-1,",2021,10.1038/s41586-021-03977-3,Dataset,Quantitative morphometry,OpenOrganelle,OpenOrganelle,OpenOrganelle,Github,FIB SEM,Any - accessed with API,Any - accessed with API,Any - accessed with API,this study,Semantic,"Manual, automated",Subcellular,"Includes ground truth annotations used for training and validation for some of the datasets, the predictions and refined predictions (called segmentation) for all"
Architecture and dynamics of a desmosome–endoplasmic reticulum complex,"aic_desmosome-2, aic-desmosome-3",2023,10.1038/s41556-023-01154-4,Biological,Quantitative morphometry,OpenOrganelle,OpenOrganelle,OpenOrganelle,Zenodo,FIB SEM,Any - accessed with API,Any - accessed with API,Any - accessed with API,this study,Semantic,"Manual, automated",Subcellular,
"ER-to-Golgi protein delivery through an interwoven, tubular network extending from ER","jrc_hela-bfa, jrc_hela-21, jrc_hela-22, jrc_hela-h89-1, jrc_hela-h89-2, jrc_hela-1, jrc_hela-2, jrc_hela-3",2021,10.1016/j.cell.2021.03.035,Biological,Quantitative morphometry,OpenOrganelle,N/A,OpenOrganelle,N/A,FIB SEM,Any - accessed with API,N/A,Any - accessed with API,"this study, other studies from group",Semantic,Semi-automated,Subcellular,
"Three-dimensional reconstructions of mechanosensory end organs suggest a unifying mechanism underlying dynamic, light touch","jrc_mus-guard-hair-follicle, jrc_mus-meissner-corpuscle-1, jrc_mus-meissner-corpuscle-2, jrc_mus-pacinian-corpuscle",2023,10.1016/j.neuron.2023.08.023,Biological,Qualitative visualisation,OpenOrganelle,No,OpenOrganelle,No,FIB SEM,Any - accessed with API,N/A,Any - accessed with API,this study,Semantic,Automated,Subcellular,
An open-access volume electron microscopy atlas of whole cells and tissues,"jrc_mus-epididymis-1, jrc_muls-epididymis-2, jrc_fly-acc-calyx-1, jrc_ctl-id8-1, jrc_fly-fsb-1",2021,10.1038/s41586-021-03992-4,Method,Proof-of-concept,OpenOrganelle,N/A,OpenOrganelle,N/A,FIB SEM,Any - accessed with API,N/A,Any - accessed with API,this study,Semantic,Unclear,Subcellular,Method paper for the FIB-SEM imaging for many of the OpenOrganelle papers
3D FIB-SEM reconstruction of microtubule–organelle interaction in whole primary mouse β cells ,jrc_mus-pancreas-1,2020,10.1083/jcb.202010039,Method,Quantitative morphometry,OpenOrganelle,No,"OpenOrganelle, Institutional (working)",ImageJ plugin,FIB SEM,Any - accessed with API,N/A,Any - accessed with API,this study,Instance,Semi-automated,Subcellular,
